ano,tipo_registro,registros,registros_avaliaveis,registros_compativeis,registros_divergentes,registros_nao_avaliaveis,percentual_divergentes_avaliaveis,maior_diferenca_absoluta,tolerancia_absoluta,motivo
2020,resumo,84819,84819,84819,0,0,0.0,0,0.01,"|total - quantidade * unitário| <= 0.01, inclusive; Decimal auxiliar, sem tolerância relativa. Detalhes de todas as divergências e não avaliáveis seguem em linhas próprias. Não somar novamente as linhas-resumo."
2021,resumo,83622,83622,83622,0,0,0.0,0,0.01,"|total - quantidade * unitário| <= 0.01, inclusive; Decimal auxiliar, sem tolerância relativa. Detalhes de todas as divergências e não avaliáveis seguem em linhas próprias. Não somar novamente as linhas-resumo."
2022,resumo,88991,88991,88991,0,0,0.0,0,0.01,"|total - quantidade * unitário| <= 0.01, inclusive; Decimal auxiliar, sem tolerância relativa. Detalhes de todas as divergências e não avaliáveis seguem em linhas próprias. Não somar novamente as linhas-resumo."
2023,resumo,31992,31992,31992,0,0,0.0,0,0.01,"|total - quantidade * unitário| <= 0.01, inclusive; Decimal auxiliar, sem tolerância relativa. Detalhes de todas as divergências e não avaliáveis seguem em linhas próprias. Não somar novamente as linhas-resumo."
2024,resumo,26258,26258,26258,0,0,0.0,0,0.01,"|total - quantidade * unitário| <= 0.01, inclusive; Decimal auxiliar, sem tolerância relativa. Detalhes de todas as divergências e não avaliáveis seguem em linhas próprias. Não somar novamente as linhas-resumo."
2025,resumo,26215,26215,26215,0,0,0.0,0,0.01,"|total - quantidade * unitário| <= 0.01, inclusive; Decimal auxiliar, sem tolerância relativa. Detalhes de todas as divergências e não avaliáveis seguem em linhas próprias. Não somar novamente as linhas-resumo."
2026,resumo,819,819,819,0,0,0.0,0,0.01,"|total - quantidade * unitário| <= 0.01, inclusive; Decimal auxiliar, sem tolerância relativa. Detalhes de todas as divergências e não avaliáveis seguem em linhas próprias. Não somar novamente as linhas-resumo."
