entidade;campo_cnpj;campo_nome;cnpjs_distintos;nomes_distintos;cnpjs_nulos;nomes_nulos;cnpjs_com_mais_de_um_nome
instituicoes;cnpj_instituicao;nome_instituicao;831;664;0;0;29
fornecedores;cnpj_fornecedor;fornecedor;3502;3294;0;0;0
