periodo;observacao_periodo;valor_total_registrado;quantidade_total_itens_comprados;numero_registros_compra;instituicoes_compradoras;fornecedores;preco_unitario_medio_ponderado
TOTAL;"2020 a 2026; inclui 2026 parcial";78557477974.0877;57127143721;342697;831;3502;1.3751340056094890296817120646044840964682404377618
2020;Base anual;5046764312.7080;8769353249;84819;482;1543;0.57550017309241136717721017421406877117352625419366
2021;Base anual;7411105559.6367;10689715426;83622;475;1623;0.69329306387437408663529748860126484717891684687397
2022;Base anual;16864356534.4673;15186371537;88991;416;1760;1.1104928187341568528621992715046268263836958962714
2023;Base anual;4920072256.3037;10179744296;31992;272;1102;0.48331982741815816627856091288208915537577467653123
2024;Base anual;8964914942.8590;5321453856;26242;230;1068;1.6846739980185971192606353777616971597770817915366
2025;Base anual;34930896708.4730;6698301159;26214;174;1083;5.2148889515872243868454586456434363494106371815343
2026;Período parcial;419367659.6400;282204198;817;17;137;1.4860433069815637540586834218532780295493690706897
